,implied_vol,premium,delta,vega,value
2013-03-13,0.1388680989010989,878.3454302792707,-0.6317965117972623,3773.1516590541205,544.7197300000007
2013-03-14,0.1396396098901099,827.7594294064493,-0.608519142612154,3855.671668092729,460.86035000000084
2013-03-15,0.1404474835164835,844.6222317945321,-0.6149363866037676,3819.7577050074506,485.88964999999916
2013-03-18,0.14140921978021978,882.2907891941468,-0.6320739484265291,3717.108194535157,547.9404300000006
2013-03-19,0.14387726373626372,887.5310282744394,-0.6287335949559737,3718.0628115091777,544.1796900000008
2013-03-20,0.1426545824175824,846.5846617492844,-0.6154459639194182,3762.067648449555,488.2695300000014
2013-03-21,0.14407563186813185,906.8577284830317,-0.6386500395451249,3654.169836578689,578.5097699999988
2013-03-22,0.14557306593406594,854.1169711874627,-0.6132475941020505,3745.9382272227044,487.9697300000007
2013-03-25,0.1447713846153846,886.3176574191621,-0.632831406766329,3636.215217600956,552.25
2013-03-26,0.14622017032967033,820.9531018038488,-0.6014750725422204,3743.7865829258662,440.3496099999993
2013-03-27,0.146261967032967,839.7263484023642,-0.6109788064750054,3698.918576809126,473.83984000000055
2013-03-28,0.1484645,814.6255722361439,-0.5951404395811735,3740.655105705405,421.45996000000014
2013-03-29,0.1484645,812.8875920594546,-0.5955527903659089,3727.9897619967714,421.45996000000014
2013-04-01,0.15063855494505493,819.0594458305513,-0.5964295575444898,3689.1815611199145,427.1503900000007
2013-04-02,0.14875771428571427,758.0905517126957,-0.5740249825245368,3745.9287387198397,337.99023000000125
2013-04-03,0.14563683516483517,810.8016291784643,-0.6081229123296354,3631.145614204295,449.6503900000007
2013-04-04,0.15117697252747253,795.9433405791679,-0.5882060415696939,3680.034854652972,393.88964999999916
2013-04-05,0.14984454395604396,813.5637875103057,-0.6009519158678485,3629.0531307082224,434.75
2013-04-08,0.1482528956043956,773.6670848814629,-0.5902716814485474,3629.0929002458265,386.5195300000014
2013-04-09,0.14531431318681318,726.176443833625,-0.5759701741496212,3659.787439245861,326.54003999999986
2013-04-10,0.14712606593406594,659.3183182100192,-0.5380244598313547,3730.5344533930484,197.75976999999875
2013-04-11,0.14728519230769233,624.7571072173714,-0.520089359036829,3745.9152798498376,134.86035000000084
2013-04-12,0.14769152747252745,624.4229452506652,-0.5201513892014766,3733.015326741182,134.94043000000056
2013-04-15,0.14358626373626374,752.9678850086821,-0.6016531686775737,3514.1822533963555,400.7998000000007
2013-04-16,0.14690097252747253,672.0191942916581,-0.5530592068060527,3626.610181431593,243.2197300000007
2013-04-17,0.14823154945054945,754.0769025643567,-0.5927625165309721,3513.792869280547,381.41015999999945
2013-04-18,0.1498541978021978,807.0509807124745,-0.6151233202704613,3428.8350399956676,462.86035000000084
2013-04-19,0.1510766868131868,803.0197637630026,-0.6115208715433831,3428.196161960283,452.49023000000125
2013-04-22,0.14819414835164835,775.5577780259191,-0.6101893295398924,3398.63206021977,432.83008000000154
2013-04-23,0.14353445604395604,667.7613473134043,-0.5689113324007216,3504.8021943200374,280.54003999999986
2013-04-24,0.14196831868131868,685.3239975349898,-0.5838381857043559,3455.9870584668074,323.7001900000014
2013-04-25,0.14185083516483515,668.8482676562071,-0.5767320109449019,3461.447176711848,299.2001900000014
2013-04-26,0.14304926923076922,664.3684744139828,-0.5725749613605862,3457.963904928035,287.4501900000014
2013-04-29,0.14374581868131867,601.9399376647079,-0.539927717630764,3483.355310771701,181.25
2013-04-30,0.14285307692307692,585.5723652825691,-0.5339858467426365,3479.475684212619,160.20019000000138
2013-05-01,0.1415377967032967,656.4219861754955,-0.5794875294645702,3377.2074806215987,299.0498000000007
2013-05-02,0.14481575274725275,592.8149780430322,-0.5361997866305893,3448.3649662970624,168.41991999999846
2013-05-03,0.14256654395604396,509.8138116755181,-0.4917669786372523,3481.1172355504523,26.040039999999863
2013-05-06,0.14220806043956044,505.0401865297945,-0.4937837193112403,3437.899516082534,31.110350000000835
2013-05-07,0.14230743956043956,461.4769162648972,-0.4654829651790383,3431.1524522623768,0.0
2013-05-08,0.1450610879120879,446.45472438995876,-0.4499736210055295,3413.726601240834,0.0
2013-05-09,0.14611277472527473,458.1502192026219,-0.45713408785431264,3401.4548480377416,0.0
2013-05-10,0.1501073901098901,453.36367449368026,-0.4462756987230762,3383.786813803422,0.0
2013-05-13,0.1487456318681319,454.3278660577216,-0.4542760927289101,3342.632320699362,0.0
2013-05-14,0.15039895604395603,403.877990948009,-0.41601328836609686,3302.273083527652,0.0
2013-05-15,0.15204617032967033,382.4811612989597,-0.39806840391298703,3264.976517987784,0.0
2013-05-16,0.14949673626373625,389.09986777814174,-0.40968184517326156,3265.070993898841,0.0
2013-05-17,0.1543300769230769,354.97331872770246,-0.3752468559439376,3196.94847992107,0.0
2013-05-20,0.15426987362637362,355.21730526550255,-0.37964279532198375,3160.5212229447216,0.0
2013-05-21,0.1558156978021978,338.3204421107248,-0.36474886087479674,3116.1752663660086,0.0
2013-05-22,0.15834656593406593,374.2342412394264,-0.3892986422827453,3148.393594863621,0.0
2013-05-23,0.15701766483516483,372.63671689227067,-0.39208649347443003,3137.0881384352956,0.0
2013-05-24,0.15911205494505495,373.43630170457254,-0.39014359618130356,3119.359156261993,0.0
2013-05-27,0.15911205494505495,366.1577578061897,-0.3890297250936064,3071.094174564769,0.0
2013-05-28,0.1569426923076923,317.5987871164625,-0.35557745088692283,2989.4418186388443,0.0
2013-05-29,0.1568151208791209,354.3877746386879,-0.3872143101622146,3036.0772376910318,0.0
2013-05-30,0.15578167582417585,340.51203127126246,-0.3795407057100833,3006.854648269006,0.0
2013-05-31,0.1572811923076923,428.822003749573,-0.44611481681819026,3064.346581277083,0.0
2013-06-03,0.16333631318681316,380.6758467231257,-0.403262515934045,2981.0198900535124,0.0
2013-06-04,0.16189923076923077,405.4873217170343,-0.4264564712502061,2988.096747335493,0.0
2013-06-05,0.16164263186813188,502.17833702806547,-0.49690434135528,2980.0254359380265,39.41015999999945
2013-06-06,0.1656933956043956,472.8420293121071,-0.47050226820623126,2971.401212436451,0.0
2013-06-07,0.1625256813186813,370.11132708715195,-0.40340175472310114,2915.334062839873,0.0
2013-06-10,0.16261657692307693,366.16927331547504,-0.40540163777083127,2867.566315382009,0.0
2013-06-11,0.1642006153846154,417.4543044310485,-0.4435937699789299,2882.1244235643253,0.0
2013-06-12,0.16732925274725274,482.5427697728719,-0.4855716767178642,2867.9545639188027,4.769530000001396
2013-06-13,0.1648182142857143,390.1265457078389,-0.42552321633996604,2836.6457966862886,0.0
2013-06-14,0.1645466043956044,433.4342493696158,-0.4606306981077005,2835.746420146119,0.0
2013-06-17,0.16403662087912088,374.9660348581865,-0.422956694189059,2764.673339817948,0.0
2013-06-18,0.16416089560439562,317.1497480956532,-0.3765392598929081,2688.624488744886,0.0
2013-06-19,0.15836963736263734,383.0087626347495,-0.44479975630261787,2742.5358563248324,0.0
2013-06-20,0.1657410934065934,579.9700928024249,-0.5702296326227664,2644.889428485133,241.67969000000085
2013-06-21,0.16276356043956045,546.0369017777848,-0.5578777853759249,2648.107335116428,200.5996099999993
2013-06-24,0.16496532417582416,624.6828672565625,-0.6089963473998897,2499.9129630926245,340.44043000000056
2013-06-25,0.16539747252747253,563.2983451484888,-0.5731295663777455,2553.3405566917813,239.69043000000056
2013-06-26,0.16435921978021978,475.76476089294283,-0.5189392944085114,2601.9838650716165,89.86035000000084
2013-06-27,0.16369952197802198,414.04335297956095,-0.4766721071609412,2601.6243955208247,0.0
2013-06-28,0.16251055494505495,465.15186175230974,-0.5203798989295226,2563.9933639854175,90.4003900000007
2013-07-01,0.16323163186813186,424.4231220032452,-0.4959359569887291,2520.9454391301156,25.040039999999863
2013-07-02,0.1625013021978022,440.8874439765941,-0.5129022977840592,2493.1954469655843,67.58984000000055
2013-07-03,0.16296584065934067,410.7626050980516,-0.4910658350882006,2483.587100403096,11.629880000000412
2013-07-04,0.16296584065934067,407.53752191355034,-0.4912101218181295,2463.8170474438684,11.629880000000412
2013-07-05,0.16234598351648352,334.634371255951,-0.43289018442247496,2433.5014751217104,0.0
2013-07-08,0.1609541098901099,284.74538202367603,-0.3959612021009758,2338.3687575235463,0.0
2013-07-09,0.15782276923076924,245.5980986163304,-0.3635245624002403,2269.5788404229643,0.0
2013-07-10,0.1579183956043956,245.82099199612367,-0.36607944276634435,2253.595484941863,0.0
2013-07-11,0.15792941758241757,186.44487721162477,-0.30002275656274796,2086.7989683246437,0.0
2013-07-12,0.1599592747252747,186.6188972682312,-0.299365634235471,2066.1399326472406,0.0
2013-07-15,0.15859918131868134,168.8524368945782,-0.28583327083949134,1967.7654558557317,0.0
2013-07-16,0.16058637912087914,179.12341042823118,-0.29838327075699395,1983.5790861738046,0.0
2013-07-17,0.15810974725274726,165.659592639141,-0.28701757446890447,1930.869597709802,0.0
2013-07-18,0.15861982967032967,142.34843958967758,-0.25682629753397834,1817.333836680501,0.0
2013-07-19,0.15857086813186813,140.47527829123692,-0.25648266791035207,1796.4955856331599,0.0
2013-07-22,0.15719484615384616,128.48935817148003,-0.2476696031518718,1706.6427420791936,0.0
2013-07-23,0.15656968131868132,119.04676292446857,-0.23632418971581742,1647.1142935462117,0.0
2013-07-24,0.15807146703296704,124.61095066277085,-0.24538651216209106,1658.7985545390784,0.0
2013-07-25,0.15759376373626374,117.49424465722495,-0.23729890546264626,1610.7415994684795,0.0
2013-07-26,0.1570822032967033,112.82844183793623,-0.23287414101344434,1574.8471902038668,0.0
2013-07-29,0.15611556593406592,110.53087510804062,-0.2379116292052671,1529.0058360476125,0.0
2013-07-30,0.1548442142857143,105.71499381206422,-0.23395269568574956,1494.1846392339473,0.0
2013-07-31,0.15455577472527474,107.01443084917446,-0.2393393419549254,1489.8286474931751,0.0
2013-08-01,0.15563223626373623,78.0452614305691,-0.18747742887087965,1283.7295727878457,0.0
2013-08-02,0.15417444505494507,67.93026432327997,-0.17111431952058603,1196.4263884082868,0.0
2013-08-05,0.15150074725274726,64.22652775707411,-0.1729403415239839,1145.1130003583999,0.0
2013-08-06,0.15293571978021978,80.64207827360224,-0.2089065408108297,1256.813923705764,0.0
2013-08-07,0.15172567582417584,86.12544373920628,-0.22476020970110838,1284.3215467123116,0.0
2013-08-08,0.15045916483516483,75.17356044679718,-0.20636644688586003,1202.3831429804502,0.0
2013-08-09,0.15140297802197802,88.97328037619081,-0.2380955067945678,1274.299680916474,0.0
2013-08-12,0.15190096703296702,79.57767504674712,-0.22881977106566465,1171.9554433390729,0.0
2013-08-13,0.15085597802197803,67.78581899737446,-0.20656823388140227,1082.6698320567891,0.0
2013-08-14,0.15180684615384615,91.44312826237092,-0.2644918780869728,1203.8365378063609,0.0
2013-08-15,0.1515441923076923,161.6503938732494,-0.4099031479810129,1375.1125426465017,0.0
2013-08-16,0.14844606043956043,165.0740029165554,-0.42980756398872233,1351.4237176531833,0.0
2013-08-19,0.14962433516483517,182.20194263942085,-0.4846399137096902,1252.8632624502889,0.0
2013-08-20,0.14860034615384615,178.78868950470496,-0.4913519808484312,1213.0676866996566,0.0
2013-08-21,0.14983256593406594,230.97014716344347,-0.5866284861197549,1136.4209936517104,102.45019000000138
2013-08-22,0.1475451098901099,185.18061910264987,-0.5290950699911718,1123.6173625299216,36.25976999999875
2013-08-23,0.14600014285714286,153.26735264959098,-0.4841685248632554,1084.944586575077,0.0
2013-08-26,0.1467996098901099,166.11742226587194,-0.5570890091574008,926.7143589852899,53.54003999999986
2013-08-27,0.1504954120879121,273.3084673057547,-0.7465803731363465,700.1596316203197,223.8701199999996
2013-08-28,0.15243165384615384,232.34966230694226,-0.7077883075308635,705.2385184831512,175.49023000000125
2013-08-29,0.15590404395604396,215.03289734674763,-0.69961767405187,661.9671850734193,159.0498000000007
2013-08-30,0.1575649725274725,229.62476767155385,-0.7520283081578538,548.4561994615393,189.69043000000056
2013-09-02,0.1575649725274725,201.8293671235715,-0.8611108025208067,242.6940568925172,189.69043000000056
2013-09-03,0.15746145604395606,171.0621444234166,-0.9109168572998989,125.13089924212518,166.04003999999986
2013-09-04,0.15677553296703298,69.12988000000041,-0.9109168572998989,125.13089924212518,69.12988000000041
2013-09-05,0.16894639560439562,1037.881730908769,-0.47623649239590016,5940.462983904287,62.519530000001396
2013-09-06,0.16801072527472527,1038.1079658550316,-0.47892238364995904,5928.595541683169,77.5
2013-09-09,0.16933247540983606,976.0273387575835,-0.4565796803923799,5932.630801287073,0.0
2013-09-10,0.16618140437158468,898.7889129613677,-0.43675497591059176,5934.652406688667,0.0
2013-09-11,0.16563182513661204,836.4015103629263,-0.4155353469222879,5919.278699374107,0.0
2013-09-12,0.16072571038251365,816.8609137159456,-0.41905144234794667,5912.104377685644,0.0
2013-09-13,0.16289014207650274,797.1375462045289,-0.4073535830259259,5893.959879220002,0.0
2013-09-16,0.16144026775956286,737.3729234368166,-0.3882848313431188,5839.125448966836,0.0
2013-09-17,0.16234018032786884,727.8013165468283,-0.38307691008288786,5820.920589700664,0.0
