Ticker,Country,State,Name,Exchange,Currency,Sector,Industry,Market Cap.,Quote Type
SPORT.BK,Thailand,,Siam Sport Syndicate Public Company Limited,SET - Thailand,THB,Consumer Cyclical,Publishing,99339944.0,EQUITY
SPR,United States,KS,"Spirit AeroSystems Holdings, Inc.",NYQ - NYSE,USD,Industrials,Aerospace & Defense,8719885312.0,EQUITY
SPR.DE,Germany,,Axel Springer SE,GER - XETRA,EUR,Consumer Cyclical,Publishing,6052951552.0,EQUITY
SPR.F,Germany,,Axel Springer SE,FRA - Frankfurt,EUR,Consumer Cyclical,Publishing,6036725248.0,EQUITY
SPRI3.SA,Brazil,SP,Springer S/A,SAO - Sao Paolo,BRL,Consumer Cyclical,Home Furnishings & Fixtures,18155880.0,EQUITY
SPRI5.SA,Brazil,SP,Springer S/A,SAO - Sao Paolo,BRL,Consumer Cyclical,Home Furnishings & Fixtures,18155864.0,EQUITY
SPSN.SW,Switzerland,,Swiss Prime Site AG,EBS - Swiss,CHF,Real Estate,Real Estate - General,6254136320.0,EQUITY
SQI.F,United States,IN,"Simon Property Group, Inc.",FRA - Frankfurt,EUR,Real Estate,REIT - Retail,51438096384.0,EQUITY
SRB.DE,United States,WA,Starbucks Corporation,GER - XETRA,EUR,Consumer Cyclical,Restaurants,88545804288.0,EQUITY
SRB.F,United States,WA,Starbucks Corporation,FRA - Frankfurt,EUR,Consumer Cyclical,Restaurants,88654774272.0,EQUITY
SRBANK.OL,Norway,,SpareBank 1 SR-Bank ASA,OSL - Oslo,NOK,Financial Services,Banks - Regional - Europe,26281951232.0,EQUITY
SRE,United States,CA,Sempra Energy,NYQ - NYSE,USD,Utilities,Utilities - Diversified,36902445056.0,EQUITY
SRE.L,,,Sirius Real Estate Limited,LSE - LSE,GBp,Financial,Property Management,662346752.0,EQUITY
SRES.L,United Kingdom,,Sunrise Resources plc,LSE - LSE,GBp,Basic Materials,Industrial Metals & Minerals,2474784.0,EQUITY
SRG.MI,Italy,MI,Snam S.p.A.,MIL - Milan,EUR,Utilities,Utilities - Regulated Gas,15252327424.0,EQUITY
SRHQX,,,Principal Short-Term Income Fund Class A,NAS - Nasdaq,USD,,,,MUTUALFUND
SRJSX,,,JPMorgan SmartRetirement 2035 Fund Class I,NAS - Nasdaq,USD,,,,MUTUALFUND
SRT.DE,Germany,,Sartorius Aktiengesellschaft,GER - XETRA,EUR,Healthcare,Diagnostics & Research,11404440576.0,EQUITY
SRU-UN.TO,Canada,ON,SmartCentres Real Estate Investment Trust,TOR - Toronto,CAD,Real Estate,REIT - Retail,5644620800.0,EQUITY
SSE.L,United Kingdom,,SSE plc,LSE - LSE,GBp,Utilities,Utilities - Diversified,11541934080.0,EQUITY
SSE.V,Canada,NS,Silver Spruce Resources Inc.,VAN - TSXV,CAD,Basic Materials,Industrial Metals & Minerals,3866886.0,EQUITY
SSL,South Africa,,Sasol Limited,NYQ - NYSE,USD,Energy,Oil & Gas Integrated,15978450944.0,EQUITY
SSL.TO,Canada,BC,Sandstorm Gold Ltd.,TOR - Toronto,CAD,Basic Materials,Gold,1303108480.0,EQUITY
SSSC.BK,Thailand,,Siam Steel Service Center Public Company Limited,SET - Thailand,THB,Basic Materials,Steel,1663994752.0,EQUITY
SSUN.F,South Korea,,"Samsung Electronics Co., Ltd.",FRA - Frankfurt,EUR,Technology,Consumer Electronics,231842594816.0,EQUITY
SSV.V,Canada,BC,Southern Silver Exploration Corp.,VAN - TSXV,CAD,Basic Materials,Industrial Metals & Minerals,14688226.0,EQUITY
SSY.L,Ireland,,SCISYS Group PLC,LSE - LSE,GBp,Technology,Information Technology Services,58054524.0,EQUITY
SSYS,United States,MN,Stratasys Ltd.,NMS - NasdaqGS,USD,Technology,Computer Systems,1237158656.0,EQUITY
STAN.L,United Kingdom,,Standard Chartered PLC,LSE - LSE,GBp,Financial Services,Banks - Global,22683967488.0,EQUITY
STERV.HE,Finland,,Stora Enso Oyj,HEL - Helsinki,EUR,Basic Materials,Paper & Paper Products,7869860864.0,EQUITY
STFC,United States,OH,State Auto Financial Corporation,NMS - NasdaqGS,USD,Financial Services,Insurance - Property & Casualty,1497413888.0,EQUITY
STI,United States,GA,"SunTrust Banks, Inc.",NYQ - NYSE,USD,Financial Services,Banks - Regional - US,27814574080.0,EQUITY
STLD,United States,IN,"Steel Dynamics, Inc.",NMS - NasdaqGS,USD,Basic Materials,Steel,5762812928.0,EQUITY
STLN.SW,Switzerland,,Schmolz + Bickenbach AG,EBS - Swiss,CHF,Basic Materials,Steel,424354048.0,EQUITY
STM,Switzerland,,STMicroelectronics N.V.,NYQ - NYSE,USD,Technology,Semiconductors,14593537024.0,EQUITY
STM.MI,Switzerland,,STMicroelectronics N.V.,MIL - Milan,EUR,Technology,Semiconductors,12607197184.0,EQUITY
STM.PA,Switzerland,,STMicroelectronics N.V.,PAR - Paris,EUR,Technology,Semiconductors,12580459520.0,EQUITY
STMN.SW,Switzerland,,Straumann Holding AG,EBS - Swiss,CHF,Healthcare,Medical Instruments & Supplies,13290556416.0,EQUITY
STO.AX,Australia,SA,Santos Limited,ASX - ASX,AUD,Energy,Oil & Gas E&P,14143298560.0,EQUITY
STS1.F,Australia,SA,Santos Limited,FRA - Frankfurt,EUR,Energy,Oil & Gas E&P,8922301440.0,EQUITY
STSVX,,,BNY Mellon Small Cap Value Fund Class I,NAS - Nasdaq,USD,,,,MUTUALFUND
STT,United States,MA,State Street Corporation,NYQ - NYSE,USD,Financial Services,Asset Management,21128318976.0,EQUITY
STT.F,Ireland,,Seagate Technology plc,FRA - Frankfurt,EUR,Technology,Data Storage,11123424256.0,EQUITY
STX,Ireland,,Seagate Technology plc,NMS - NasdaqGS,USD,Technology,Data Storage,12059281408.0,EQUITY
STZ,United States,NY,"Constellation Brands, Inc.",NYQ - NYSE,USD,Consumer Defensive,Beverages - Wineries & Distilleries,35897733120.0,EQUITY
SU,Canada,AB,Suncor Energy Inc.,NYQ - NYSE,USD,Energy,Oil & Gas Integrated,48076103680.0,EQUITY
SU.PA,France,,Schneider Electric S.E.,PAR - Paris,EUR,Industrials,Diversified Industrials,39859400704.0,EQUITY
SU4.F,Australia,QLD,Suncorp Group Limited,FRA - Frankfurt,EUR,Financial Services,Insurance - Property & Casualty,10750133248.0,EQUITY
SUA2.F,United Kingdom,,RSA Insurance Group plc,FRA - Frankfurt,EUR,Financial Services,Insurance - Property & Casualty,7002653696.0,EQUITY
SUK.F,Japan,,Suzuki Motor Corporation,FRA - Frankfurt,EUR,Consumer Cyclical,Auto Manufacturers,19120732160.0,EQUITY
SUN,United States,TX,Sunoco LP,NYQ - NYSE,USD,Energy,Oil & Gas Refining & Marketing,2554461696.0,EQUITY
SUN.AX,Australia,QLD,Suncorp Group Limited,ASX - ASX,AUD,Financial Services,Insurance - Property & Casualty,17068919808.0,EQUITY
SUN.L,United Kingdom,,Surgical Innovations Group plc,LSE - LSE,GBp,Healthcare,Medical Devices,22839416.0,EQUITY
SUNTECHNO.BO,India,,Sun Techno Overseas Limited,BSE - BSE,INR,Industrials,Conglomerates,123994568.0,EQUITY
SUNTECK.BO,India,,Sunteck Realty Limited,BSE - BSE,INR,Real Estate,Real Estate - General,71430987776.0,EQUITY
SUU.F,United States,GA,"SunTrust Banks, Inc.",FRA - Frankfurt,EUR,Financial Services,Banks - Regional - US,26055448576.0,EQUITY
SUVN.F,Switzerland,,SGS SA,FRA - Frankfurt,EUR,Industrials,Business Services,17446977536.0,EQUITY
SUY1.F,United Kingdom,,J Sainsbury plc,FRA - Frankfurt,EUR,Consumer Defensive,Grocery Stores,5218079744.0,EQUITY
SVBAX,,,John Hancock Balanced Fund Class A,NAS - Nasdaq,USD,,,1899224576.0,MUTUALFUND
SVBBX,,,John Hancock Balanced Fund Class B,NAS - Nasdaq,USD,,,1893543936.0,MUTUALFUND
SVBCX,,,John Hancock Balanced Fund Class C,NAS - Nasdaq,USD,,,1894490752.0,MUTUALFUND
SVBIX,,,John Hancock Balanced Fund Class I,NAS - Nasdaq,USD,,,1897331200.0,MUTUALFUND
SVHG.F,Sweden,,Svenska Handelsbanken AB (publ),FRA - Frankfurt,EUR,Financial Services,Banks - Global,17060045824.0,EQUITY
SVHH.F,Sweden,,Svenska Handelsbanken AB (publ),FRA - Frankfurt,EUR,Financial Services,Banks - Global,17206044672.0,EQUITY
SVKB.F,Sweden,,Sandvik AB,FRA - Frankfurt,EUR,Industrials,Diversified Industrials,18261825536.0,EQUITY
SVT.L,United Kingdom,,Severn Trent Plc,LSE - LSE,GBp,Utilities,Utilities - Regulated Water,4937556480.0,EQUITY
SVT1.F,United Kingdom,,Severn Trent Plc,FRA - Frankfurt,EUR,Utilities,Utilities - Regulated Water,5643681280.0,EQUITY
SW.PA,France,,Sodexo S.A.,PAR - Paris,EUR,Industrials,Business Services,15177154560.0,EQUITY
SW5.F,United States,TX,Southwestern Energy Company,FRA - Frankfurt,EUR,Energy,Oil & Gas E&P,1687007616.0,EQUITY
SWC.F,Canada,AB,Shaw Communications Inc.,FRA - Frankfurt,EUR,Communication Services,Telecom Services,9502785536.0,EQUITY
SWED-A.ST,Sweden,,Swedbank AB (publ),STO - Stockholm,SEK,Financial Services,Banks - Regional - Europe,155928805376.0,EQUITY
SWEGX,,,Schwab MarketTrack All Equity Portfolio,NAS - Nasdaq,USD,,,,MUTUALFUND
SWI.F,Hong Kong,,Swire Pacific Limited,FRA - Frankfurt,EUR,Industrials,Conglomerates,15358113792.0,EQUITY
SWJ.F,Switzerland,,Swisscom AG,FRA - Frankfurt,EUR,Communication Services,Telecom Services,22737651712.0,EQUITY
SWK,United States,CT,"Stanley Black & Decker, Inc.",NYQ - NYSE,USD,Industrials,Tools & Accessories,20864442368.0,EQUITY
