This file was created using the 201904 Bloomberg database.,,,,,,,,,,,
,,,,,,,,,,,
Missing data are indicated by -99.99.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Mkt-RF,SMB,HML,RMW,CMA,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log
19901019,1.26,0.38,-0.82,0.24,-0.26,0.03,1.252128055,0.379279824,-0.823380493,0.23971246,-0.260338587
19901022,2.16,0.24,-0.95,0.1,0.99,0.03,2.137002574,0.23971246,-0.954541284,0.099950033,0.985131605
19901023,-0.87,0.51,0.04,-0.3,0.59,0.03,-0.873806594,0.508703905,0.039992002,-0.300450902,0.588266316
19901024,-1.26,0.78,0.26,-0.25,0.61,0.03,-1.268005316,0.776973726,0.259662585,-0.250313022,0.608147032
19901025,2.89,0.87,-0.7,0.76,0.47,0.03,2.84902704,0.866237308,-0.702461494,0.75712655,0.468898949
19901026,-1.58,1.05,0.39,-0.61,-0.18,0.03,-1.592615055,1.044525786,0.389241472,-0.611868101,-0.180162195
19901029,0.49,0.73,-0.1,-0.34,0.18,0.03,0.488803407,0.727348397,-0.100050033,-0.340579313,0.179838194
19901030,-1.08,0.3,-0.14,0.14,-0.03,0.03,-1.085874333,0.299550898,-0.140098092,0.139902091,-0.030004501
19901031,-1.11,0.95,0.06,0.04,0.25,0.03,-1.116206471,0.945515877,0.059982007,0.039992002,0.24968802
19901101,-3.68,-0.21,0.44,0.09,-0.43,0.03,-3.749420443,-0.210220809,0.43903483,0.089959524,-0.430927159
19901102,1.12,-1.34,-0.49,0.92,1.1,0.03,1.113774441,-1.349059018,-0.491204436,0.915793778,1.093994004
19901105,2.19,0.7,-0.31,0.04,-0.13,0.03,2.166363964,0.697561374,-0.310481495,0.039992002,-0.130084573
19901106,-1.57,-0.17,-0.17,-0.4,-0.63,0.03,-1.582455035,-0.170144664,-0.170144664,-0.40080214,-0.631992874
19901107,-2.21,0.66,0.27,0.26,-0.25,0.03,-2.234786366,0.657831536,0.269636155,0.259662585,-0.250313022
19901108,-3.16,-0.51,0.55,-0.07,-0.68,0.03,-3.211005392,-0.511304939,0.548493023,-0.070024511,-0.682322535
19901109,-0.8,-1.22,0.12,-0.11,-0.06,0.03,-0.80321717,-1.227503088,0.119928058,-0.110060544,-0.060018007
19901112,0.66,0,0,0,0,0.03,0.657831536,0,0,0,0
19901113,3,-0.49,-0.35,-0.4,0.59,0.03,2.955880224,-0.491204436,-0.350613933,-0.40080214,0.588266316
19901114,-0.1,1.05,-0.64,1.11,-0.29,0.03,-0.100050033,1.044525786,-0.64205678,1.103884712,-0.290421315
19901115,-1.18,0.54,0.65,-0.08,-0.49,0.03,-1.187017257,0.538547228,0.64789661,-0.080032017,-0.491204436
19901116,-1.57,0,0.27,-0.1,-0.02,0.03,-1.582455035,0,0.269636155,-0.100050033,-0.020002
19901119,1.45,-0.93,-0.52,0.34,0.44,0.03,1.439588028,-0.9343515,-0.521356705,0.339423307,0.43903483
