Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Mkt-RF_log_global,SMB_log_global,HML_log_global,RMW_log_global,CMA_log_global,AUDUSD=X
2006-08-24,-0.15,-0.13,0.09,-0.07,0.04,0.02,-0.150112613,-0.130084573,0.089959524,-0.070024511,0.039992002,-0.4481759
2006-08-28,0.26,-0.28,0.07,-0.04,0.16,0.02,0.259662585,-0.280392733,0.069975511,-0.040008002,0.159872136,0.7760828
2006-08-29,0.55,0.25,-0.14,-0.25,0.05,0.02,0.548493023,0.24968802,-0.140098092,-0.250313022,0.049987504,0.0381983
2006-08-30,0.21,0.06,-0.04,-0.23,0.12,0.02,0.209779808,0.059982007,-0.040008002,-0.230264906,0.119928058,-0.1069156
2006-08-31,0.08,0.2,0.17,-0.17,-0.02,0.02,0.079968017,0.199800266,0.169855664,-0.170144664,-0.020002,0.5203888
2006-09-04,0.49,0.12,-0.14,0.15,-0.19,0.02,0.488803407,0.119928058,-0.140098092,0.149887612,-0.190180729,0.3766803
2006-09-05,-0.11,0.42,-0.11,-0.01,-0.12,0.02,-0.110060544,0.419120462,-0.110060544,-0.0100005,-0.120072058,-0.3843556
2006-09-06,-1.05,0.05,0.24,0,0.31,0.02,-1.055551394,0.049987504,0.23971246,0,0.309520491,-1.1442572
2006-09-07,-1.02,0.08,0.15,-0.03,0.21,0.02,-1.025237646,0.079968017,0.149887612,-0.030004501,0.209779808,-0.5672604
2006-09-11,-0.52,-0.29,0.24,-0.13,0.65,0.02,-0.521356705,-0.290421315,0.23971246,-0.130084573,0.64789661,-0.316271
2006-09-12,0.67,-0.27,-0.01,-0.23,0.19,0.02,0.667765475,-0.270365157,-0.0100005,-0.230264906,0.189819728,0.1956701
2006-09-13,0.42,-0.09,0.08,0.13,-0.17,0.02,0.419120462,-0.090040524,0.079968017,0.129915573,-0.170144664,0.1356867
2006-09-14,0.08,-0.08,0.15,-0.08,0.1,0.02,0.079968017,-0.080032017,0.149887612,-0.080032017,0.099950033,-0.2711933
2006-09-18,0.17,-0.08,-0.13,0.26,-0.14,0.02,0.169855664,-0.080032017,-0.130084573,0.259662585,-0.140098092,-0.05264
2006-09-19,-0.42,0.16,0,0.13,0.19,0.02,-0.420884477,0.159872136,0,0.129915573,0.189819728,0.1053158
2006-09-20,0.41,-0.16,0.16,-0.17,0.27,0.02,0.40916179,-0.160128137,0.159872136,-0.170144664,0.269636155,0.6115298
2006-09-21,0.33,0.01,0.12,0.17,-0.32,0.02,0.329456695,0.0099995,0.119928058,0.169855664,-0.320513095,-0.7168456
2006-09-25,0.22,-0.15,0.26,-0.22,0.43,0.02,0.219758354,-0.150112613,0.259662585,-0.220242356,0.429078142,-0.0526201
2006-09-26,0.47,-0.59,-0.03,0.03,-0.22,0.02,0.468898949,-0.591747376,-0.030004501,0.029995501,-0.220242356,-0.0525924
2006-09-27,0.67,0.07,-0.24,0.19,-0.12,0.02,0.667765475,0.069975511,-0.240288462,0.189819728,-0.120072058,-0.3074671
2006-09-28,0.23,0.03,-0.23,0.13,-0.2,0.02,0.229735905,0.029995501,-0.230264906,0.129915573,-0.200200267,-0.3065311
2006-10-02,0.11,-0.11,0.27,0.04,0.22,0.02,0.109939544,-0.110060544,0.269636155,0.039992002,0.219758354,-0.4543264
2006-10-03,-0.3,-0.26,0.28,-0.24,0.55,0.02,-0.300450902,-0.260338587,0.27960873,-0.240288462,0.548493023,0.3498726
2006-10-04,0.63,-0.32,0,-0.11,0.05,0.02,0.628023796,-0.320513095,0,-0.110060544,0.049987504,0.0223698
2006-10-05,0.68,0.23,-0.12,0.01,-0.36,0.02,0.677698428,0.229735905,-0.120072058,0.0099995,-0.360649559,-0.2681521
2006-10-09,0.1,0.11,-0.13,0.02,-0.11,0.02,0.099950033,0.109939544,-0.130084573,0.019998,-0.110060544,-0.0223097
2006-10-10,0.04,-0.31,0.18,-0.05,-0.12,0.02,0.039992002,-0.310481495,0.179838194,-0.050012504,-0.120072058,-0.1931902
2006-10-11,-0.28,-0.4,0.26,-0.05,0.19,0.02,-0.280392733,-0.40080214,0.259662585,-0.050012504,0.189819728,1.224815
2006-10-12,0.86,0.25,-0.17,0.04,-0.24,0.02,0.856323066,0.24968802,-0.170144664,0.039992002,-0.240288462,-0.0600885
2006-10-16,0.54,0.47,-0.37,0.33,-0.22,0.02,0.538547228,0.468898949,-0.370686193,0.329456695,-0.220242356,0.338501
2006-10-17,-0.54,0.28,-0.06,0.09,0.15,0.02,-0.54146327,0.27960873,-0.060018007,0.089959524,0.149887612,0.1810098
2006-10-18,0.29,-0.11,-0.13,0.14,-0.06,0.02,0.289580311,-0.110060544,-0.130084573,0.139902091,-0.060018007,0.5070614
2006-10-19,0.47,0.41,-0.2,0.1,-0.29,0.02,0.468898949,0.40916179,-0.200200267,0.099950033,-0.290421315,-0.0530963
2006-10-23,0.25,-0.28,-0.24,0.05,-0.11,0.02,0.24968802,-0.280392733,-0.240288462,0.049987504,-0.110060544,0.1289947
2006-10-24,0.06,-0.07,0.1,0.16,-0.25,0.02,0.059982007,-0.070024511,0.099950033,0.159872136,-0.250313022,0.3118073
2006-10-25,0.44,0.03,-0.02,0.13,-0.02,0.02,0.43903483,0.029995501,-0.020002,0.129915573,-0.020002,0.3739143
2006-10-26,0.72,0.16,0.13,-0.16,-0.18,0.02,0.717420375,0.159872136,0.129915573,-0.160128137,-0.180162195,0.6058039
2006-10-30,-0.4,0.08,0.08,-0.24,0.34,0.02,-0.40080214,0.079968017,0.079968017,-0.240288462,0.339423307,0.7566447
2006-10-31,0.23,0.29,-0.14,0.06,-0.24,0.02,0.229735905,0.289580311,-0.140098092,0.059982007,-0.240288462,-0.108445
2006-11-01,-0.33,-0.48,0.04,0.14,0.3,0.02,-0.330545701,-0.4811557,0.039992002,0.139902091,0.299550898,0.0309687
2006-11-02,-0.12,-0.13,0.04,-0.03,0.11,0.02,-0.120072058,-0.130084573,0.039992002,-0.030004501,0.109939544,-0.5175115
2006-11-06,0.89,-0.37,0.04,-0.07,-0.07,0.02,0.886062843,-0.370686193,0.039992002,-0.070024511,-0.070024511,0.3318322
2006-11-07,0.47,-0.11,-0.1,-0.04,-0.08,0.02,0.468898949,-0.110060544,-0.100050033,-0.040008002,-0.080032017,-0.285593
2006-11-08,-0.09,-0.08,0.25,-0.1,0.01,0.02,-0.090040524,-0.080032017,0.24968802,-0.100050033,0.0099995,-0.1617372
2006-11-09,-0.13,-0.06,0.16,0.04,-0.07,0.02,-0.130084573,-0.060018007,0.159872136,0.039992002,-0.070024511,-0.2152345
2006-11-13,-0.11,-0.32,0.14,-0.29,0.17,0.02,-0.110060544,-0.320513095,0.139902091,-0.290421315,0.169855664,-0.2147652
2006-11-14,0.54,0.55,-0.32,0.1,-0.01,0.02,0.538547228,0.548493023,-0.320513095,0.099950033,-0.0100005,-0.1607811
2006-11-15,0.35,0.02,-0.07,-0.03,-0.11,0.02,0.349388925,0.019998,-0.070024511,-0.030004501,-0.110060544,0.1990932
2006-11-16,-0.1,-0.14,-0.02,-0.03,0.31,0.02,-0.100050033,-0.140098092,-0.020002,-0.030004501,0.309520491,0.3224566
2006-11-20,-0.35,-0.37,0.18,-0.17,0.11,0.02,-0.350613933,-0.370686193,0.179838194,-0.170144664,0.109939544,0.2309682
2006-11-21,0.28,-0.01,-0.03,0.07,-0.31,0.02,0.27960873,-0.0100005,-0.030004501,0.069975511,-0.310481495,0.5177576
2006-11-22,0.74,0.33,-0.36,0.11,-0.09,0.02,0.737275433,0.329456695,-0.360649559,0.109939544,-0.090040524,0.030991
2006-11-23,0.02,0.13,0,-0.01,0.05,0.02,0.019998,0.129915573,0,-0.0100005,0.049987504,0.4583035
2006-11-27,-0.98,0.25,0.15,0.21,0.03,0.02,-0.984833605,0.24968802,0.149887612,0.209779808,0.029995501,0.6796707
2006-11-28,0.11,-0.02,-0.11,0.22,0.06,0.02,0.109939544,-0.020002,-0.110060544,0.219758354,0.059982007,-0.1096836
2006-11-29,0.99,-0.06,0,0.12,-0.22,0.02,0.985131605,-0.060018007,0,0.119928058,-0.220242356,0.7072083
2006-11-30,0.41,0.44,0.07,-0.08,-0.24,0.02,0.40916179,0.43903483,0.069975511,-0.080032017,-0.240288462,0.3792439
2006-12-04,0.72,0.08,-0.07,-0.1,0.01,0.02,0.717420375,0.079968017,-0.070024511,-0.100050033,0.0099995,-0.615536
2006-12-05,0.32,-0.24,0.07,0.02,-0.02,0.02,0.31948909,-0.240288462,0.069975511,0.019998,-0.020002,-0.2671272
2006-12-06,-0.02,0.06,0.06,-0.06,-0.08,0.02,-0.020002,0.059982007,0.059982007,-0.060018007,-0.080032017,0.5034192
2006-12-07,0.06,-0.02,0.05,0.06,0.02,0.02,0.059982007,-0.020002,0.049987504,0.059982007,0.019998,-0.2284282
2006-12-11,0.41,-0.08,0.33,-0.05,-0.04,0.02,0.40916179,-0.080032017,0.329456695,-0.050012504,-0.040008002,0.1023339
2006-12-12,0.14,-0.26,0.23,0.02,0.17,0.02,0.139902091,-0.260338587,0.229735905,0.019998,0.169855664,-0.1259276
2006-12-13,0.03,-0.11,0.03,0.14,-0.01,0.02,0.029995501,-0.110060544,0.029995501,0.139902091,-0.0100005,-0.3690241
2006-12-14,0.52,-0.26,-0.08,0.03,-0.07,0.02,0.518652669,-0.260338587,-0.080032017,0.029995501,-0.070024511,-0.0626742
2006-12-18,-0.16,-0.18,0.07,0,0.16,0.02,-0.160128137,-0.180162195,0.069975511,0,0.159872136,0.2509472
2006-12-19,-0.01,-0.04,0.06,0.12,0.08,0.02,-0.0100005,-0.040008002,0.059982007,0.119928058,0.079968017,0.0942616
2006-12-20,0.16,0.37,0.09,-0.07,0.09,0.02,0.159872136,0.369317184,0.089959524,-0.070024511,0.089959524,-0.1962869
2006-12-21,-0.22,0.08,0.19,-0.07,0.01,0.02,-0.220242356,0.079968017,0.189819728,-0.070024511,0.0099995,-0.1097517
2006-12-25,-0.06,-0.07,-0.02,0.03,-0.02,0.02,-0.060018007,-0.070024511,-0.020002,0.029995501,-0.020002,-0.1174578
2006-12-26,0.09,0.17,0.08,0,0.15,0.02,0.089959524,0.169855664,0.079968017,0,0.149887612,0.3213776
2006-12-27,0.88,-0.01,0.09,-0.01,-0.06,0.02,0.876150567,-0.0100005,0.089959524,-0.0100005,-0.060018007,0.6458811
2006-12-28,0.01,0.03,0,0.07,-0.15,0.02,0.0099995,0.029995501,0,0.069975511,-0.150112613,-0.1736918
2007-01-01,0.02,0.01,0,0,-0.01,0.02,0.019998,0.0099995,0,0,-0.0100005,0.9272092
2007-01-02,0.65,-0.17,0.02,0.05,-0.2,0.02,0.64789661,-0.170144664,0.019998,0.049987504,-0.200200267,-0.5003417
2007-01-03,-0.47,0.04,0.16,-0.3,0.54,0.02,-0.471107973,0.039992002,0.159872136,-0.300450902,0.538547228,-1.1186489
2007-01-04,-0.28,0.04,-0.12,-0.2,0.37,0.02,-0.280392733,0.039992002,-0.120072058,-0.200200267,0.369317184,-0.3987354
2007-01-08,0.14,-0.02,0.11,-0.02,0,0.02,0.139902091,-0.020002,0.109939544,-0.020002,0,0.0702534
2007-01-09,0.03,0.07,-0.02,0.05,0.31,0.02,0.029995501,0.069975511,-0.020002,0.049987504,0.309520491,-0.4751716
2007-01-10,-0.56,0.04,-0.27,-0.15,0.15,0.02,-0.561573879,0.039992002,-0.270365157,-0.150112613,0.149887612,0.3659214
2007-01-11,0.61,-0.19,-0.15,-0.08,0.08,0.02,0.608147032,-0.190180729,-0.150112613,-0.080032017,0.079968017,0.4142343
2007-01-15,0.43,0.23,-0.02,0.04,-0.08,0.02,0.429078142,0.229735905,-0.020002,0.039992002,-0.080032017,-0.0939404
2007-01-16,-0.27,0.16,-0.06,-0.13,0.15,0.02,-0.270365157,0.159872136,-0.060018007,-0.130084573,0.149887612,0.6279437
2007-01-17,0.05,0.08,-0.08,0.22,0,0.02,0.049987504,0.079968017,-0.080032017,0.219758354,0,0.2917678
2007-01-18,-0.14,-0.07,0.09,0.3,0.07,0.02,-0.140098092,-0.070024511,0.089959524,0.299550898,0.069975511,0
2007-01-22,-0.28,0.14,0.2,0.03,0.03,0.02,-0.280392733,0.139902091,0.199800266,0.029995501,0.029995501,0.3401484
2007-01-23,0.39,0.11,0.11,0.08,-0.22,0.02,0.389241472,0.109939544,0.109939544,0.079968017,-0.220242356,-1.4709036
2007-01-24,0.64,-0.23,0.03,-0.07,-0.21,0.02,0.637960696,-0.230264906,0.029995501,-0.070024511,-0.210220809,-0.9558257
2007-01-25,-0.87,0.13,-0.08,-0.1,0.03,0.02,-0.873806594,0.129915573,-0.080032017,-0.100050033,0.029995501,-0.0927644
2007-01-29,0.2,0.23,0.07,-0.06,0.07,0.02,0.199800266,0.229735905,0.069975511,-0.060018007,0.069975511,-0.1004023
2007-01-30,0.42,-0.18,0.17,-0.07,-0.14,0.02,0.419120462,-0.180162195,0.169855664,-0.070024511,-0.140098092,0.4874906
2007-01-31,0.33,0.01,-0.09,0.03,-0.07,0.02,0.329456695,0.0099995,-0.090040524,0.029995501,-0.070024511,-0.2014759
2007-02-01,0.79,-0.06,0.12,0.07,-0.07,0.02,0.786895838,-0.060018007,0.119928058,0.069975511,-0.070024511,0.116183
2007-02-05,-0.2,0.15,-0.08,0.05,0,0.02,-0.200200267,0.149887612,-0.080032017,0.049987504,0,0.3182607
2007-02-06,0.48,0.11,0.11,0.08,-0.08,0.02,0.478851673,0.109939544,0.109939544,0.079968017,-0.080032017,0.2491065
2007-02-07,0.21,0.01,0.04,-0.12,0.14,0.02,0.209779808,0.0099995,0.039992002,-0.120072058,0.139902091,0.2497232
2007-02-08,-0.31,0.14,0,-0.13,-0.07,0.02,-0.310481495,0.139902091,0,-0.130084573,-0.070024511,-0.5765431
2007-02-12,-0.53,0.23,0.05,0.01,0.25,0.02,-0.531409482,0.229735905,0.049987504,0.0099995,0.24968802,0.2722722
2007-02-13,0.79,-0.16,0.12,0.12,-0.03,0.02,0.786895838,-0.160128137,0.119928058,0.119928058,-0.030004501,0.5624571
2007-02-14,1.02,-0.32,-0.14,0.19,-0.14,0.02,1.014833105,-0.320513095,-0.140098092,0.189819728,-0.140098092,0.0234999
2007-02-15,0.32,0.15,0.03,-0.07,-0.03,0.02,0.31948909,0.149887612,0.029995501,-0.070024511,-0.030004501,0.463385
2007-02-19,0.21,0.07,-0.05,-0.02,-0.1,0.02,0.209779808,0.069975511,-0.050012504,-0.020002,-0.100050033,0.102391
2007-02-20,-0.03,0.21,-0.06,-0.06,0.11,0.02,-0.030004501,0.209779808,-0.060018007,-0.060018007,0.109939544,0.3631525
2007-02-21,-0.24,0.36,0.05,-0.05,0.06,0.02,-0.240288462,0.359353551,0.049987504,-0.050012504,0.059982007,-0.1896375
2007-02-22,0.09,0.18,-0.07,-0.11,-0.18,0.02,0.089959524,0.179838194,-0.070024511,-0.110060544,-0.180162195,0.3162594
2007-02-26,0.18,0.05,0.17,0.19,0.02,0.02,0.179838194,0.049987504,0.169855664,0.189819728,0.019998,-0.7494826
2007-02-27,-2.44,0.28,0.32,0.09,0.17,0.02,-2.470261264,0.27960873,0.31948909,0.089959524,0.169855664,0.1415823
2007-02-28,-0.83,-0.35,0.07,-0.12,0.3,0.02,-0.833463679,-0.350613933,0.069975511,-0.120072058,0.299550898,-0.2672591
2007-03-01,-0.69,0.16,0.15,-0.06,0.08,0.02,-0.692391507,0.159872136,0.149887612,-0.060018007,0.079968017,-0.1098404
2007-03-05,-1.72,-1.02,0.27,-0.07,0.51,0.02,-1.734963834,-1.025237646,0.269636155,-0.070024511,0.508703905,-1.2003181
2007-03-06,1.4,0.43,-0.22,0.1,-0.34,0.02,1.390290517,0.429078142,-0.220242356,0.099950033,-0.340579313,0.155074
2007-03-07,0.42,0.1,0.01,0.17,-0.18,0.02,0.419120462,0.099950033,0.0099995,0.169855664,-0.180162195,0.3108681
2007-03-08,0.79,-0.11,-0.08,0.11,-0.14,0.02,0.786895838,-0.110060544,-0.080032017,0.109939544,-0.140098092,0.3743354
2007-03-12,0.42,0.43,-0.07,-0.02,0.16,0.02,0.419120462,0.429078142,-0.070024511,-0.020002,0.159872136,0.0468833
2007-03-13,-1.3,0.32,0.04,0.1,0.04,0.02,-1.308523955,0.31948909,0.039992002,0.099950033,0.039992002,0.6902569
2007-03-14,-1.06,-0.07,-0.1,0.03,0.4,0.02,-1.065658019,-0.070024511,-0.100050033,0.029995501,0.399202127,0.2521807
2007-03-15,0.99,-0.04,-0.01,0.08,-0.13,0.02,0.985131605,-0.040008002,-0.0100005,0.079968017,-0.130084573,0.919546
2007-03-19,1.02,-0.56,0.13,-0.06,-0.16,0.02,1.014833105,-0.561573879,0.129915573,-0.060018007,-0.160128137,0.976324
2007-03-20,0.74,-0.06,0.04,0.02,-0.11,0.02,0.737275433,-0.060018007,0.039992002,0.019998,-0.110060544,0.5321744
2007-03-21,1.16,-0.24,-0.02,-0.11,-0.02,0.02,1.153323581,-0.240288462,-0.020002,-0.110060544,-0.020002,-0.20999
2007-03-22,0.47,-0.11,0.05,0.13,-0.4,0.02,0.468898949,-0.110060544,0.049987504,0.129915573,-0.40080214,-0.0322612
2007-03-26,-0.04,0.35,-0.16,0.06,-0.01,0.02,-0.040008002,0.349388925,-0.160128137,0.059982007,-0.0100005,0.2099102
2007-03-27,-0.28,0.08,0.02,0.06,-0.08,0.02,-0.280392733,0.079968017,0.019998,0.059982007,-0.080032017,-0.2985897
2007-03-28,-0.61,0.39,0.03,0.04,0.06,0.02,-0.611868101,0.389241472,0.029995501,0.039992002,0.059982007,0.201659
2007-03-29,0.43,-0.3,0.13,0.05,0.13,0.02,0.429078142,-0.300450902,0.129915573,0.049987504,0.129915573,0.2344294
2007-04-02,0.09,-0.14,0.08,-0.04,-0.04,0.02,0.089959524,-0.140098092,0.079968017,-0.040008002,-0.040008002,0.3323706
2007-04-03,0.74,-0.41,0.02,-0.14,-0.02,0.02,0.737275433,-0.410842804,0.019998,-0.140098092,-0.020002,0.8644576
2007-04-04,0.51,0.09,-0.14,0.09,0.04,0.02,0.508703905,0.089959524,-0.140098092,0.089959524,0.039992002,0.0655527
2007-04-05,0.26,0.12,-0.05,-0.08,-0.08,0.02,0.259662585,0.119928058,-0.050012504,-0.080032017,-0.080032017,0.032793
2007-04-09,0.1,-0.01,0.17,-0.07,0.09,0.02,0.099950033,-0.0100005,0.169855664,-0.070024511,0.089959524,0.7901844
