This file was created using the 201904 Bloomberg database.,,,,,,,,,,,
,,,,,,,,,,,
Missing data are indicated by -99.99.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Mkt-RF,SMB,HML,RMW,CMA,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log
19901126,-0.34,0.11,-0.13,0.15,-0.18,0.03,-0.340579313,0.109939544,-0.130084573,0.149887612,-0.180162195
19901127,0.19,0.27,-0.18,-0.04,-0.21,0.03,0.189819728,0.269636155,-0.180162195,-0.040008002,-0.210220809
19901128,-1.37,0.85,0.12,-0.02,0.02,0.03,-1.379471102,0.846407841,0.119928058,-0.020002,0.019998
19901129,-1.8,0.71,0.15,0.18,-0.04,0.03,-1.816397063,0.707491367,0.149887612,0.179838194,-0.040008002
19901130,0.05,-0.41,0.11,0.22,0.16,0.03,0.049987504,-0.410842804,0.109939544,0.219758354,0.159872136
19901203,0.3,-0.38,0.06,-0.09,-0.01,0.03,0.299550898,-0.380723834,0.059982007,-0.090040524,-0.0100005
19901204,-0.58,0.72,0.18,0.17,-0.14,0.03,-0.581688532,0.717420375,0.179838194,0.169855664,-0.140098092
19901205,0.72,-0.52,0.29,0.1,-0.28,0.03,0.717420375,-0.521356705,0.289580311,0.099950033,-0.280392733
19901206,1.6,-0.76,-0.07,0.19,-0.2,0.03,1.587334916,-0.762902716,-0.070024511,0.189819728,-0.200200267
19901207,2.03,-0.99,-0.35,-0.13,0.33,0.03,2.00967017,-0.994933085,-0.350613933,-0.130084573,0.329456695
19901210,0.19,0.06,-0.3,-0.07,0.2,0.03,0.189819728,0.059982007,-0.300450902,-0.070024511,0.199800266
19901211,-0.28,-0.12,-0.23,0.19,0.14,0.03,-0.280392733,-0.120072058,-0.230264906,0.189819728,0.139902091
19901212,0.57,-0.18,-0.4,0.16,0.21,0.03,0.568381647,-0.180162195,-0.40080214,0.159872136,0.209779808
19901213,0.6,-0.5,-0.23,0.01,0.01,0.03,0.598207168,-0.501254182,-0.230264906,0.0099995,0.0099995
19901214,-0.86,0.45,-0.2,0.12,0.27,0.03,-0.86371934,0.448990527,-0.200200267,0.119928058,0.269636155
19901217,-1.1,0.32,-0.15,0.09,-0.05,0.03,-1.106094736,0.31948909,-0.150112613,0.089959524,-0.050012504
19901218,0.58,-0.63,0.15,0.24,-0.19,0.03,0.578324476,-0.631992874,0.149887612,0.23971246,-0.190180729
19901219,0.37,-0.28,-0.19,0.13,-0.42,0.03,0.369317184,-0.280392733,-0.190180729,0.129915573,-0.420884477
