This file was created by CMPT_ME_BEME_OP_INV_RETS_DAILY using the 201904 CRSP database.,,,,,,,,,,,
The 1-month TBill return is from Ibbotson and Associates, Inc.,,,,,,,,,,
,Mkt-RF_simple,SMB_simple,HML_simple,RMW_simple,CMA_simple,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log
19631030,-0.79,0.43,-0.06,-0.22,0.5,0.013,-0.793137033,0.429078142,-0.060018007,-0.220242356,0.498754151
19631031,0.21,-0.04,0.11,0.12,-0.32,0.013,0.209779808,-0.040008002,0.109939544,0.119928058,-0.320513095
19631101,-0.18,0.26,0.19,-0.22,0.22,0.015,-0.180162195,0.259662585,0.189819728,-0.220242356,0.219758354
19631104,-0.43,0.08,0.36,-0.22,0.45,0.015,-0.430927159,0.079968017,0.359353551,-0.220242356,0.448990527
19631106,-0.77,0.1,0.25,-0.12,0.51,0.015,-0.772979806,0.099950033,0.24968802,-0.120072058,0.508703905
19631107,0.33,0.05,-0.04,-0.07,-0.23,0.015,0.329456695,0.049987504,-0.040008002,-0.070024511,-0.230264906
19631108,0.54,0.06,0.12,0.11,-0.16,0.015,0.538547228,0.059982007,0.119928058,0.109939544,-0.160128137
19631111,0.2,0.22,0.15,0.13,-0.07,0.015,0.199800266,0.219758354,0.149887612,0.129915573,-0.070024511
19631112,-0.37,0.25,-0.29,0.2,-0.18,0.015,-0.370686193,0.24968802,-0.290421315,0.199800266,-0.180162195
19631113,0.05,0.05,-0.08,0.05,-0.12,0.015,0.049987504,0.049987504,-0.080032017,0.049987504,-0.120072058
19631114,-0.41,0.12,-0.03,-0.11,0.35,0.015,-0.410842804,0.119928058,-0.030004501,-0.110060544,0.349388925
19631115,-0.75,0.35,0,-0.15,0.61,0.015,-0.752826642,0.349388925,0,-0.150112613,0.608147032
19631118,-0.74,0.08,-0.23,0.26,-0.04,0.015,-0.742751583,0.079968017,-0.230264906,0.259662585,-0.040008002
19631119,0.1,-0.31,0.35,-0.17,0.07,0.015,0.099950033,-0.310481495,0.349388925,-0.170144664,0.069975511
19631120,0.76,-0.96,-0.35,0.26,0.53,0.015,0.75712655,-0.964637705,-0.350613933,0.259662585,0.528600443
19631121,-1.25,-0.11,0.03,-0.44,0.39,0.015,-1.257878221,-0.110060544,0.029995501,-0.440970849,0.389241472
19631122,-2.9,-0.58,0.05,0.62,0.5,0.015,-2.942881069,-0.581688532,0.049987504,0.618085908,0.498754151
19631126,3.94,-1.22,0.87,-0.37,-0.36,0.015,3.864362359,-1.227503088,0.866237308,-0.370686193,-0.360649559
19631127,-0.16,0.35,0.13,-0.02,-0.07,0.015,-0.160128137,0.349388925,0.129915573,-0.020002,-0.070024511
19631129,1.34,0.33,0.31,-0.23,-0.18,0.015,1.331101406,0.329456695,0.309520491,-0.230264906,-0.180162195
19631202,0.53,-0.31,-0.21,0.5,-0.35,0.014,0.528600443,-0.310481495,-0.210220809,0.498754151,-0.350613933
19631203,-0.05,-0.07,-0.2,0.12,0.2,0.014,-0.050012504,-0.070024511,-0.200200267,0.119928058,0.199800266
19631204,0.25,0.11,0.12,-0.13,0.16,0.014,0.24968802,0.109939544,0.119928058,-0.130084573,0.159872136
19631205,0.57,-0.7,0.12,-0.24,0.35,0.014,0.568381647,-0.702461494,0.119928058,-0.240288462,0.349388925
19631206,-0.32,0.19,0.08,-0.12,0.01,0.014,-0.320513095,0.189819728,0.079968017,-0.120072058,0.0099995
19631209,-0.11,0.02,-0.16,0.12,-0.35,0.014,-0.110060544,0.019998,-0.160128137,0.119928058,-0.350613933
