date,rf_rate_cad
2005-11-25,0.000175755
2005-11-28,0.00017535
2005-11-29,0.000174915
2005-11-30,0.000174675
2005-12-01,0.00017391
2005-12-02,0.00017391
2005-12-05,0.00017352
2005-12-06,0.000173835
2005-12-07,0.00017382
2005-12-08,0.000173115
2005-12-09,0.000173115
2005-12-12,0.000172425
2005-12-13,0.000172725
2005-12-14,0.000173685
2005-12-15,0.000173955
2005-12-16,0.000173955
2005-12-19,0.00017589
2005-12-20,0.00017496
2005-12-21,0.000175005
2005-12-22,0.00017466
2005-12-23,0.00017466
2005-12-27,0.000174765
2005-12-28,0.000174615
2005-12-29,0.00017424
2005-12-30,0.00017424
2006-01-03,0.000195296
2006-01-04,0.000197472
2006-01-05,0.000198186
2006-01-06,0.000198186
2006-01-09,0.000197676
2006-01-10,0.000196928
2006-01-11,0.000197353
2006-01-12,0.000196979
2006-01-13,0.000196979
2006-01-17,0.000199359
2006-01-18,0.000197744
2006-01-19,0.00019686
2006-01-20,0.00019686
2006-01-23,0.000195959
2006-01-24,0.000195721
2006-01-25,0.000195313
2006-01-26,0.000195415
2006-01-27,0.000195415
2006-01-30,0.000193579
2006-01-31,0.000193987
2006-02-01,0.000205974
2006-02-02,0.000205866
2006-02-03,0.000205866
2006-02-06,0.000207558
2006-02-07,0.000207018
2006-02-08,0.000206352
2006-02-09,0.000209664
2006-02-10,0.000209664
2006-02-13,0.000207702
2006-02-14,0.000208368
2006-02-15,0.00020826
2006-02-16,0.000206748
2006-02-17,0.000206748
2006-02-21,0.00020673
2006-02-22,0.000207522
2006-02-23,0.000206784
2006-02-24,0.000206784
2006-02-27,0.000204642
2006-02-28,0.000204354
2006-03-01,0.000181136
2006-03-02,0.000181376
2006-03-03,0.000181376
2006-03-06,0.000183936
2006-03-07,0.000185072
2006-03-08,0.000185744
2006-03-09,0.000185696
2006-03-10,0.000185696
2006-03-13,0.00018512
2006-03-14,0.00018472
2006-03-15,0.000184464
2006-03-16,0.00018528
2006-03-17,0.00018528
2006-03-20,0.000186064
2006-03-21,0.00018648
2006-03-22,0.000186464
2006-03-23,0.000186704
2006-03-24,0.000186704
2006-03-27,0.000187104
2006-03-28,0.0001876
2006-03-29,0.000185248
2006-03-30,0.000186784
2006-03-31,0.000186784
2006-04-03,0.000221027
2006-04-04,0.000220742
2006-04-05,0.000219089
2006-04-06,0.000217987
2006-04-07,0.000217987
2006-04-10,0.000217322
2006-04-11,0.000218177
2006-04-12,0.000218576
2006-04-13,0.000218538
2006-04-17,0.000216695
2006-04-18,0.000215688
2006-04-19,0.000216581
2006-04-20,0.000216049
2006-04-21,0.000216049
2006-04-24,0.000214966
2006-04-25,0.000214206
2006-04-26,0.000213389
2006-04-27,0.000212154
2006-04-28,0.000212154
2006-05-01,0.00022154
2006-05-02,0.00022178
2006-05-03,0.00022174
2006-05-04,0.00022094
2006-05-05,0.00022094
2006-05-08,0.00021982
2006-05-09,0.00022042
2006-05-10,0.00021998
2006-05-11,0.00022204
2006-05-12,0.00022204
2006-05-15,0.0002214
2006-05-16,0.00022302
2006-05-17,0.00022392
2006-05-18,0.00022348
2006-05-19,0.00022348
2006-05-22,0.00022496
2006-05-23,0.00022396
2006-05-24,0.0002215
2006-05-25,0.00022136
2006-05-26,0.00022136
2006-05-30,0.00022018
2006-05-31,0.0002205
2006-06-01,0.000198198
2006-06-02,0.000198198
2006-06-05,0.000200376
2006-06-06,0.00020016
2006-06-07,0.00020187
2006-06-08,0.000199242
2006-06-09,0.000199242
2006-06-12,0.000200412
2006-06-13,0.00020043
2006-06-14,0.000200016
2006-06-15,0.000202554
2006-06-16,0.000202554
2006-06-19,0.000201168
2006-06-20,0.000199368
2006-06-21,0.000201204
2006-06-22,0.000201618
2006-06-23,0.000201618
2006-06-26,0.000202104
2006-06-27,0.000202194
2006-06-28,0.000199674
2006-06-29,0.000200646
2006-06-30,0.000200646
2006-07-03,0.00022174
2006-07-05,0.0002225
2006-07-06,0.00022228
2006-07-07,0.00022228
2006-07-10,0.00022632
2006-07-11,0.0002266
2006-07-12,0.00022628
2006-07-13,0.00022572
2006-07-14,0.00022572
2006-07-17,0.00022706
2006-07-18,0.00022684
2006-07-19,0.00022662
2006-07-20,0.00022744
2006-07-21,0.00022744
2006-07-24,0.00022806
2006-07-25,0.00022722
2006-07-26,0.0002272
2006-07-27,0.0002262
2006-07-28,0.0002262
2006-07-31,0.00022622
2006-08-01,0.000202716
2006-08-02,0.000202464
2006-08-03,0.000202572
2006-08-04,0.000202572
2006-08-07,0.000202374
2006-08-08,0.000201564
2006-08-09,0.000202896
2006-08-10,0.000202356
2006-08-11,0.000202356
2006-08-14,0.000201996
